id	author	title	translator	year	publisher	pub_place
1	Hugo, Victor	Hernani	Crosland, Camilla	2005	H. Fertig	New York
10	Ferran, Sébastien;;Rivière, François;;Micheli, Serge	Voyage into the deep : the saga of Jules Verne and Captain Nemo	NA	2004	Harry N. Abrams	New York
2	Backès, Michel;;Brun-Cosme, Nadine	No, I want daddy!	NA	2004	Clarion Books	New York
3	Crozon, Alain	What am I? : music!	NA	2004	Chronicle Books	San Francisco, CALIF
4	Crozon, Alain	Who am I? : Sports!	NA	2004	Chronicle Books	San Francisco, CALIF
5	Du Bellay, Joachim	The regrets	Slavitt, David R.	2004	Northwestern University Press	Evanston, ILL
6	Monénembo, Tierno	The oldest orphan	Nagem, Monique F.	2004	University of Nebraska Press	Lincoln, NEBR
7	Gibert, Bruno	The king is naked!	NA	2004	Clarion Books	New York
8	Schoch, Irène	The cat's vacation	NA	2004	Chronicle	San Francisco, CALIF
9	Morgenstern, Susie	Sixth grade	Rosner, Gill	2004	Viking	New York
11	Kerisel, Françoise	Diogenes' lantern	NA	2004	J. Paul Getty Museum	Los Angeles, CALIF
12	Gay, Michel	Zee is not scared	Mianowski, Marie	2004	Clarion Books	New York
13	Weil, Sylvie	My guardian angel	Rosner, Gill	2004	Arthur A. Levine Books	New York
14	Alembert, Jean le Rond d';;Rousseau, Jean-Jacques;;Bloom, Allan David;;Butterworth, Charles E.;;Kelly, Christopher	Letter to D'Alembert and writings for the theater	NA	2004	University Press of New England;;Dartmouth College	Hanover, N.H.;;Hanover, N.H.
15	Fatras, André;;Fontanel, Béatrice	The penguin : a funny bird	Uhlig, Elizabeth	2004	Charlesbridge	Watertown, MASS
16	Stolz, Joëlle	The shadows of Ghadames	Temerson, Catherine	2004	Delacorte Press	New York
17	Genet, Jean	The declared enemy : texts and interviews	Fort, Jeff	2004	Stanford University Press	Stanford, CALIF
18	Paulhan, Jean	Of chaff and wheat : writers, war, and treason	Rand, Richard	2004	University of Illinois Press	Urbana, ILL
19	Giono, Jean	The serpent of stars	Gladding, Jody	2004	Archipelago Books	New York
20	Chevillard, Éric	Palafox	Mason, Wyatt Alexander	2004	Archipelago Books	New York
21	Rancière, Jacques	The flesh of words : the politics of writing	Mandell, Charlotte	2004	Stanford University Press	Stanford, CALIF
22	Rolin, Dominique	Divine madman	Corts, Elaine L.	2005	P. Lang	New York
23	Schuhl, Jean-Jacques	Ingrid Caven	Pye, Michael	2004	City Lights Books	San Francisco, CALIF
24	Aït Djafer, Ismaël	Wail of the Arab beggars of the Casbah	Hirschman, Jack	2004	Curbstone Press	Willimantic, CONN
25	Zongo, Norbert	The parachute drop	Wise, Christopher	2004	Africa World Press	Trenton, N.J.
26	Crousaz, Jean-Pierre de;;Brack, O M.	A commentary on Mr. Pope's principles of morality, or Essay on man : a translation from the French	Johnson, Samuel	2004	Yale University Press	New Haven, CONN
27	Compagnon, Antoine	Literature, theory, and common sense	Cosman, Carol	2004	Princeton University Press	Princeton, N.J.
28	Khadra, Yasmina	The swallows of Kabul	Cullen, John	2004	Doubleday;;Nan A. Talese	New York;;New York
29	Pennac, Daniel	Dog	Adams, Sarah	2004	Candlewick Press	Cambridge, MASS
30	Duclos, Charles	Two French libertine novels : The story of Madame de Luz ; The confessions of the Comte de ***	Parmée, Douglas	2006	AMS Press	New York
31	Orban, Christine	One day my sister disappeared	Bolkonsky, Gwen	2004	Random House	New York
32	Proust, Marcel	In the shadow of young girls in flower	Grieve, James	2004	Viking	New York
33	NA	McGraw-Hill's French picture dictionary	NA	2004	McGraw-Hill	New York
34	Bénabou, Marcel	To write on Tamara	Rendall, Steven	2004	University of Nebraska Press	Lincoln, NEBR
35	Bujor, Flavia	The prophecy of the Stones	Coverdale, Linda	2004	Hyperion;;Miramax Books	New York;;New York
36	Dumas, Alexandre	Camille : the lady of the Camellias	Gosse, Edmund	2004	Signet Classics	New York
37	Claudel, Paul	Knowing the East	Lawler, James	2004	Princeton University Press	Princeton, N.J.
38	Graff, Laurent	Happy days	Coverdale, Linda	2004	Carroll & Graf	New York
39	Proust, Marcel	The Guermantes way	Treharne, Mark	2004	Viking	New York
40	Cheng, François	Green mountain, white cloud : a novel of love in the Ming Dynasty	Bent, Timothy	2004	St. Martin's Press	New York
41	Carrère, Emmanuel	I am alive and you are dead : a journey into the mind of Philip K. Dick	Bent, Timothy	2004	Henry Holt;;Metropolitan Books	New York;;New York
42	Leroux, Gaston	The phantom of the opera	Teixeira de Mattos, Alexander	2004	Dover Publications	Mineola, N.Y.
43	Proust, Marcel	Sodom and Gomorrah	Sturrock, John	2004	Viking	New York
44	Butor, Michel	Mobile	Howard, Richard	2004	Dalkey Archive Press	Normal, ILL
45	Zola, Émile	The kill	Goldhammer, Arthur	2004	Modern Library	New York
46	Gracq, Julien	The narrow waters	Kohn, Ingeborg M.	2004	Turtle Point Press	New York
47	Benmalek, Anouar	The lovers of Algeria	Kilmartin, Joanna	2004	Graywolf Press	St. Paul, MINN
48	Roché, Henri-Pierre	Two English girls and the continent	Bruno, Walter	2004	Cambridge Book Review Press	Cambridge, WIS
49	Savitzkaya, Eugène	Rules of solitude	Lombardo, Gian S.	2004	Quale Press	Florence, MASS
50	Diamond, Lynn	The past at our feet	Elder, Jo-Anne	2004	Guernica	Buffalo, N.Y.
51	Char, René	This smoke that carried us : selected poems	Dubroff, Susanne	2004	White Pine Press	Buffalo, N.Y.
52	Germain, Paul	Love and other poems by Haitian youths	NA	2004	Trilingual Press	Cambridge, MASS
53	Celan, Paul;;Joris, Pierre	Paul Celan : selections	NA	2005	University of California Press	Berkeley, CALIF
54	Serge, Victor	The case of Comrade Tulayev	Trask, Willard R.	2004	New York Review Books	New York
55	Hédelin, Pascale	Face-to-face with the duck	Uhlig, Elizabeth	2005	Charlesbridge	Watertown, MASS
56	NDiaye, Marie	Rosie Carpe	Black, Tamsin	2004	University of Nebraska Press	Lincoln, NEBR
57	Nothomb, Amélie	The book of proper names	Whiteside, Shaun	2004	St. Martin's Press	New York
58	Debray, Régis;;Xavier de C	Empire 2.0 : a modest proposal for a United States of the West	Rowe, Joseph	2004	North Atlantic Books	Berkeley, CALIF
59	Perec, Georges	Three by Perec : Which moped with chrome-plated handlebars at the back of the yard? ; The Exeter text: jewels, secrets, sex ; A gallery portrait	Monk, Ian	2004	D.R. Godine	Boston, MASS
60	Blanchot, Maurice	Lautréamont and Sade	Kendall, Michelle;;Kendall, Stuart	2004	Stanford University Press	Stanford, CALIF
61	Volodine, Antoine	Minor angels	Stump, Jordan	2004	University of Nebraska Press	Lincoln, NEBR
62	Makine, Andreï	The earth and sky of Jacques Dorme	Strachan, Geoffrey	2005	Arcade	New York
63	NA	Guillaume de Palerne : an English translation of the 12th century French verse romance	Sconduto, Leslie A.	2004	McFarland & Co.	Jefferson, N.C.
64	Simenon, Georges	Monsieur Monde vanishes	Stewart, Jean Margaret	2004	New York Review Books	New York
65	Malroux, Claire	Birds and bison : poems	Hacker, Marilyn	2004	Sheep Meadow Press	Riverdale-on-Hudson, N.Y.
66	Valckx, Catharina	Lizette's green sock	NA	2005	Clarion Books	New York
67	Van Cauwelaert, Didier	Out of my head	Polizzotti, Mark	2004	Other Press	New York
68	Pernot, Laurent	Rhetoric in antiquity	Higgins, W. E.	2005	Catholic University of America Press	Washington, D.C.
69	Moses, Emmanuel	Last news of Mr Nobody : selected poems	NA	2004	Handsel Books	New York
