id	author	title	translator	year	publisher	pub_place
1464	Abdallah, Anouar;;et al.	For Rushdie : essays by Arab and Muslim writers in defense of free speech	NA	1994	G. Braziller	New York
1465	Green, Julien	Love in America : 1919-1922	Cameron, Euan	1994	Marion Boyars	New York
1466	Echenoz, Jean	Cherokee	Polizzotti, Mark	1994	University of Nebraska Press	Lincoln, NEBR
1467	Bibesco, Marthe-Lucie	The green parrot	Cowley, Malcolm	1994	Turtle Point Press	Tuxedo Park, N.Y.
1468	Goulemot, Jean Marie	Forbidden texts : erotic literature and its readers in eighteenth-century France	Simpson, James	1994	University of Pennsylvania Press	Philadelphia, PA
1469	Hergé	The adventures of Tintin (4:) Red Rackham's treasure. The seven crystal balls. Prisoners of the sun;;(5:) Land of black gold. Destination moon. Explorers of the moon	Lonsdale-Cooper, Leslie;;Turner, Michael	1991	Little, Brown	Boston, MASS
1470	Bertin, Charles	Christopher Columbus	Smith, William Jay	1992	Stone House Press;;John Carter Brown Library	Roslyn, N.Y.;;Providence, R.I.
1471	Golon, Anne	Angélique, the road to Versailles	Barisse, Rita	1997	G.K. Hall	Thorndike, ME
1472	Ikhlef, Anne;;Laffolay, Anne	Happy little dolphin	NA	1991	Random House	New York
1473	Rostand, Edmond	Cyrano de Bergerac	Burgess, Anthony	1998	Applause Theatre & Cinema Books	New York
1474	Monnier, Adrienne	The very rich hours of Adrienne Monnier	McDougall, Richard	1996	University of Nebraska Press	Lincoln, NEBR
1475	Gibrān, Khalīl	Visions of the Prophet	Crosland, Margaret	1997	Frog	Berkeley, CALIF
1476	Eduar, Gilles	Jooka saves the day	NA	1997	Orchard Books	New York
1477	Balzac, Honoré de	The physiology of marriage	NA	1997	Johns Hopkins University Press	Baltimore, MD
1478	Dumas, Alexandre;;Coward, David	La Reine Margot	NA	1997	Oxford University Press	New York
1479	Crozon, Alain;;Lanchais, Aurélie	What am I?	NA	1998	Chronicle Books	San Francisco, CALIF
1480	Crozon, Alain;;Lanchais, Aurélie	Who am I?	NA	1998	Chronicle Books	San Francisco, CALIF
1481	Baronian, Jean-Baptiste;;Kern, Noris	I love you with all my heart	NA	1998	Chronicle Books	San Francisco, CALIF
1482	Langlois, Florence	The extraordinary gift	NA	1996	Abbeville Kids	New York
1483	Verne, Jules	The chase of the golden meteor	NA	1998	University of Nebraska Press	Lincoln, NEBR
1484	Flammarion, Camille	Omega : the last days of the world	NA	1999	University of Nebraska Press	Lincoln, NEBR
1485	Camus, Albert	Youthful writings : by Albert Camus. The first Camus	Kennedy, Ellen Conroy	1990	Marlowe & Co.	New York
1486	Godard, Alex	Mama, across the sea	Wen, George	2000	Henry Holt	New York
1487	Hallensleben, Georg;;Magnier, Thierry	Isabelle and the angel	NA	2000	Chronicle Books	San Francisco, CALIF
1488	Dubois, Pierre	The great encyclopedia of faeries	NA	2000	Simon and Schuster	New York
1489	Giono, Jean	The man who planted trees	NA	1999	Shambhala	Boston, MASS
1490	Buñuel, Luis	An unspeakable betrayal : selected writings of Luis Buñuel	White, Garrett	2000	University of California Press	Berkeley, CALIF
1491	Rimbaud, Arthur	Complete works : Arthur Rimbaud	Schmidt, Paul	2000	Perennial	New York
1492	Allancé, Mireille d'	Bear's Christmas star	NA	2000	Margaret K. McElderry Books	New York
1493	Daoust, Jean-Paul	Blue ashes : selected poems 1982-1998	Sloate, Daniel	1999	Guernica	Buffalo, N.Y.
1494	Masereel, Frans	The sun : a novel told in 63 woodcuts	NA	2000	Shambhala	Boston, MASS
1495	Henry, Marie H.;;Masurel, Claire	Christmas is coming!	NA	2001	Chronicle Books	San Francisco, CALIF
1496	Guénon, René	The esoterism of Dante	Bethell, Cecil;;Fohr, Henry D.	2001	S. Perennis	Hillsdale, N.Y.
1497	Got, Yves	Sam's Christmas word book	NA	2002	Chronicle Books	San Francisco, CALIF
1498	Beckett, Samuel	How it is;;L'image : a critical-genetic edition	O'Reilly, Edouard Magessa	2001	Routledge	New York
1499	Condé, Maryse	Tales from the heart : true stories from my childhood	Philcox, Richard	2001	Soho Press	New York
1500	Manchette, Jean-Patrick	Three to kill	Nicholson-Smith, Donald	2002	City Lights Books	San Francisco, CALIF
1501	Delbo, Charlotte	Days and memory	Lamont, Rosette	2001	Marlboro Press	Evanston, ILL
1502	Michaux, Henri	Ideograms in China	Sobin, Gustaf	2002	New Directions	New York
1503	Flaubert, Gustave	The temptation of St. Anthony	Hearn, Lafcadio;;Olds, Marshall C.	2001	Modern Library	New York
1504	Hugo, Victor	Selected poems	Haxton, Brooks	2002	Penguin	New York
1505	Balzac, Honoré de	Cousin Bette	Raine, Kathleen	2002	Modern Library	New York
1506	Rimbaud, Arthur	Rimbaud complete	Mason, Wyatt Alexander	2002	Modern Library	New York
1507	Pennac, Daniel	Eye of the wolf	Adams, Sarah	2003	Candlewick Press	Cambridge, MASS
1508	Blanchot, Maurice	Aminadab	Fort, Jeff	2002	University of Nebraska Press	Lincoln, NEBR
1509	Bonnaud, Dominique;;Midani, Akram;;Steinberg, Erwin Ray	Ulysses on Montmartre : an earlier Ulysses in another Nighttown : a French shadow play (1910), its translation, and an essay on its relation to Joyce's Ulysses	NA	2002	Carnegie Mellon University Press	Pittsburgh, PA
1510	Tirabosco, Tom	At the same time	NA	2001	Kane/Miller Book Publishers	La Jolla, CALIF
1511	Ashbé, Jeanne	And after that	NA	2002	Kane/Miller Book Publishers	La Jolla, CALIF
1512	Brami, Elisabeth;;Tschiegg, Anne-Sophie	Mommy time!	NA	2002	Kane/Miller Book Publishers	La Jolla, CALIF
1513	Buchet, Philippe;;Morvan, Jean-David	Wake (1:) Fire & ash;;(2:) Private collection;;(3:) Gearing up;;(4-5:) The sign of the demons. Symbols of made up language;;(6:) Artifice;;(7:) Maximum (in)security	Johnson, Joe	2000	NBM Publishing	s. l.
1514	Maltaite, Eric	Robinsonia	Johnson, Joe	2000	Eurotica	New York
1515	Grandjean, Samuel	Genovieva : a true story	Beattie, Stephen	1996	Eastern European Aid Association	Waynesboro, PA
1516	Kern, Noris	I love you with all my heart	NA	2002	Chronicle Books	San Francisco, CALIF
1517	Michaux, Henri	Miserable miracle : mescaline	Varèse, Louise	2002	New York Review Books	New York
1518	Tremblay, Rémi	One came back : a Franco-American civil war novel	Quintal, Claire;;Langford, Margaret S.	2002	Images from the Past	Bennington, VT
1519	Fumaroli, Marc	The poet and the king : Jean de La Fontaine and his century	Todd, Jane Marie	2002	University of Notre Dame Press	Notre Dame, IND
1520	Le Clézio, Jean-Marie Gustave	The round & other cold hard facts	Dickson, C.	2002	University of Nebraska Press	Lincoln, NEBR
1521	Lourenço, Eduardo;;Veloso, Carlos	Chaos and splendor and other essays	NA	2002	University of Massachusetts Dartmouth	Dartmouth, MASS
1522	Ponti, Claude	DeZert Isle	Holliday, Mary Martin	2003	David R. Godine	Boston, MASS
1523	Bensmaïa, Réda	Experimental nations, or, The invention of the Maghreb	Waters, Alyson	2003	Princeton University Press	Princeton, N.J.
1524	Lapierre, Dominique;;Moro, Javier	Five past midnight in Bhopal	Spink, Kathryn	2002	Warner Books	New York
1525	Guettier, Bénédicte	In the jungle	NA	2002	Kane/Miller Book Publishers	La Jolla, CALIF
1526	Boisteau, Manu;;Martin, Paul	Von Skalpel's experiment	Papademetriou, Lisa	2003	Hyperion Books for Children	New York
1527	Khoury-Ghata, Vénus	She says	Hacker, Marilyn	2003	Graywolf Press	St. Paul, MINN
1528	Gracq, Julien	King Cophetua	Kohn, Ingeborg M.	2003	Turtle Point Press	New York
1529	Michaux, Henri;;Andrews, Nin	Someone wants to steal my name : and other poems	NA	2003	Cleveland State University Poetry Center	Cleveland, OHIO
1530	Got, Yves	Sam's opposites	NA	2003	Chronicle Books	San Francisco, CALIF
1531	Gervais, Bernadette;;Pittau, Francesco	At school : a lift-the-flap learning book	NA	2003	Chronicle Books	San Francisco, CALIF
1532	Rancière, Jacques	Short voyages to the land of the people	Swenson, James B.	2003	Stanford University Press	Stanford, CALIF
1533	Desmarteau, Claudine;;Larrondo, Valerie	When Mommy was little	NA	2003	Chronicle Books	San Francisco, CALIF
1534	Got, Yves	Sam's pop-up schoolhouse	NA	2002	Chronicle Books	San Francisco, CALIF
1535	Gavalda, Anna	95 pounds of hope	Rosner, Gill	2003	Viking	New York
1536	Van Cauwelaert, Didier	One-way	Polizzotti, Mark	2003	Other Press	New York
1537	Pineau, Gisèle	Exile according to Julia	Wilson, Betty	2003	University of Virginia Press	Charlottesville, VA
1538	Schmitt, Éric-Emmanuel	Monsieur Ibrahim and the flowers of the Koran;;Oscar and the lady in pink	De Jager, Marjolijn	2003	Other Press	New York
1539	Proust, Marcel	Swann's way	Davis, Lydia	2003	Viking	New York
1540	Rimbaud, Arthur;;Appelbaum, Stanley	A season in hell and other works	NA	2003	Dover Publications	Mineola, N.Y.
1541	Gavalda, Anna	I wish someone were waiting for me somewhere	Marker, Karen L.	2003	Riverhead Books	New York
1542	Blain, Christophe	Isaac the pirate (1:) To exotic lands;;(2:) The capital.	Johnson, Joe	2003	NBM Publishing	New York
1543	Voltaire	Candide, or, Optimism	Morley, Henry;;Walsh, Lauren	2003	Barnes & Noble Classics	New York
1544	Hugo, Victor	Les misérables : abridged	Wilbour, Charles E.	2003	Barnes & Noble Classics	New York
1545	Simenon, Georges	Maigret and the wine merchant	Ellenbogen, Eileen	2003	Harcourt	Orlando, FLA
1546	Simenon, Georges	Maigret in Holland	Sainsbury, Geoffrey	1994	Harcourt	Orlando, FLA
