id	author	title	translator	year	publisher	pub_place
1	Baudelaire, Charles	The Parisian prowler: le spleen de Paris, petits poèmes en prose	KAplan, Edward K.	1990	University of Georgia Press	Athens, GA
10	Hagège, Claude	The dialogic species : a linguistic contribution to the social sciences /	Shelly, Sharon L.	1990	Columbia University Press	New York
2	Sartre, Jean-Paul	The family idiot: Gustave Flaubert, 1821-1857 (1-4)	Cosman, Carol	1991	University of Chicago Press	Chicago, ILL
3	Maupassant, Guy de	The necklace	NA	1992	Creative Education	Mankato, MINN
4	Chraïbi, Driss	Birth at dawn	Woollcombe, Ann	1990	Three Continents Press	Washington, D.C.
5	Lapouge, Gilles	The battle of Wagram	Brownjohn, John	1990	New Amsterdam	New York
6	Verne, Jules	Journey to the center of the earth /	NA	1990	Unicorn Pub. House	Morris Plains N.J.
7	Cocteau, Jean	Souvenir portraits : Paris in the Belle Epoque /	Browner, Jesse	1990	Paragon House	New York
8	Milner, Jean-Claude	For the love of language	Banfield, Ann	1990	St. Martin's Press	New York
9	Sardou, Victorien;;Kleine-Ahlbrandt, William Laird	La Tosca : the drama behind the opera /	NA	1990	Edwin Mellen Press	Lewiston, N.Y.
11	Sand, George	Journey within the crystal : a study and translation of George Sand's Laura, voyage dans le cristal	Pearson-Stamps, Pauline	1992	Lang	New York
12	Ding, Ya	The earth sings	Rothschild, Jon	1990	Harcourt Brace Jovanovich	San Diego, CALIF
13	Rousseau, Jean-Jacques;;Kelly, Christopher;;Masters, Roger D.	The collected writings of Rousseau (1-3);;v. 1. Rousseau, judge of Jean-Jacques, Dialogues -- v. 2. Discourse on the sciences and arts : first discourse and polemics -- v. 3. Discourse on the origins of inequality (second discourse) ; Polemics, and Political economy	NA	1990	Dartmouth College;;University Press of New England	Hanover, N.H.;;Hanover, N.H.
14	Toussaint, Jean-Philippe	The bathroom	Amphoux, Nancy;;De Angelis, Paul	1990	Dutton	New York
15	Kendris, Christopher	501 French verbs fully conjugated in all the tenses in a new easy to learn format (arranged alphabetically)	NA	1990	Barron's Educational Series	New York
16	Cohen, Marcel;;Jabès, Edmond	From the desert to the book (Edmond Jabès dialogues with Marcel Cohen)	Joris, Pierre	1990	Station Hill Press	Barrytown N.Y.
17	Khatibi, Abdelkebir	Love in two languages	Howard, Richard	1990	University of Minnesota Press	Minneapolis, MINN
18	Cixous, Hélène;;Lispector, Clarice	Reading with Clarice Lispector	Conley, Verena Andermatt	1990	University of Minnesota Press	Minneapolis, MINN
19	Césaire, Aimé	Lyric and dramatic poetry, 1946-82;;Poetry and knowledge ; And the dogs were silent ; Moi, laminaire	Eshleman, Clayton;;Smith, Annette	1990	University Press of Virginia	Charlottesville, VA
20	Jabès, Edmond	The book of resemblances	Waldrop, Rosmarie	1990	Wesleyan University Press	Middletown, CT
21	Zumthor, Paul	Oral poetry : an introduction	Murphy-Judy, Kathryn	1990	University of Minnesota Press	Minneapolis, MINN
22	NA	The one hundred new tales	Diner, Judith Bruskin	1990	Garland	New York
23	Voltaire	The complete tales of Voltaire;;(V. 1. The Huron. The history of Jenni. The one-eyed street porter. Cosi-sancta. An incident of memory. The travels of reason. The man with forty crowns. Timon. The king of Boutan. The city of Cashmere - v. 2. The letters of Amabed. The blind judges of colors. The princess of Babylon. The ears of Lord Chesterfield and Chaplain Goudman. Story of a good brahman. An Indian adventure. Zadig, or, Destiny - v. 3. Micromegas. Candide, or, Optimism. The world as it goes. The white and the black. Jeannot and Colin. The travels of Scarmentado. The white bull. Memnon. Plato's dream. Bababec and the Fakirs. The two consoled ones)	Walton, William	1990	H. Fertig	New York
24	Carrère, Emmanuel	Gothic romance	Goodman, Lanie	1990	Scribner	New York
25	Mandelbaum, Pili.	You be me, I'll be you;;A brown-skinned daughter and her white father experiment to see what it would be like to have the other's skin color	NA	1990	Kane/Miller Book Publishers	Brooklyn, N.Y.
26	Vigny, Alfred de	Alfred de Vigny's Chatterton : a play in three acts	Fulvi, Philip A.	1990	Griffon House Publications	New York
27	Billiet, Daniel;;Rutten, Nicole	The great invasion of the stone moles	NA	1990	Stewart Tabori and Chang	New York
28	Simenon, Georges	Maigret and the pickpocket	Ryan, Nigel	1990	G. K. Hall	Boston, MASS
29	Simenon, Georges	Maigret and the Flemish shop	Sainsbury, Geoffrey	1990	Harcourt Brace Jovanovich	San Diego, CALIF
30	Bedriomo, Emile;;Recker, Jo Ann Marie;;Siskin, H. Jay;;Storme, Julie A.	Situations et contextes	NA	1990	Holt, Rinehart and Winston	Fort Worth, TEX
31	Chénieux-Gendron, Jacqueline	Surrealism	Folkenflik, Vivian	1990	Columbia University Press	New York
32	Stéphane, Roger	Autour de Montaigne	Beck, William J.	1990	Lang	New York
33	Merle, Robert	Vittoria	Bray, Barbara	1990	Harcourt Brace Jovanovich	San Diego, CALIF
34	Green, Julien	The distant lands : a novel	Beaumont, Barbara	1991	M. Boyars	New York
35	Belletto, René	Eclipse : a novel	Leggatt, Jeremy	1990	Mercury House	San Francisco, CALIF
36	Rouband, Alix Cleo;;Roubaud, Jacques	Something black	Waldrop, Rosmarie	1990	Dalkey Archive Press	Elwood Park, ILL
37	Rousseau, Jean-Jacques;;Kelly, Christopher;;Masters, Roger D.	Rousseau, judge of Jean-Jacques, Dialogues	Bush, Judith R.;;et al.	1990	Dartmouth College;;University Press of New England	Hanover, N.H.;;Hanover, N.H.
38	Saint-Cheron, Philippe-Michel de;;Wiesel, Elie	Evil and exile	Rothschild, Jon	1990	University of Notre Dame Press	Notre Dame, IND
39	Body, Jacques	Jean Giraudoux : the legend and the secret	Norwood, James	1991	Fairleigh Dickinson University Press	Rutherford, N.J.
40	Japrisot, Sébastien	The passion of women : a novel	Schwartz, Ros	1990	Crown Publishers	New York
41	Strub, Susanne	Lulu goes swimming	NA	1990	Viking	New York
42	Strub, Susanne	Lulu on her bike	NA	1990	Viking	New York
43	Delbo, Charlotte	Days and memory	Lamont, Rosette	1990	Marlboro Press	Marlboro, VT
44	Bonnefoy, Yves	Early poems, 1947-1959	Kinnell, Galway;;Pevear, Richard	1991	Ohio University Press	Athens, OHIO
45	Bernanos, Georges	Georges Bernanos and the saints : Saint Dominic; Joan, relapsed and saint; Brother Martin; The Life of Jesus; with selections from A diary of my times and We Frenchmen	Stewart, Josephine Smania;;Stewart, Paul	1990	Lang	New York
46	Beaujour, Jérôme;;Duras, Marguerite	Practicalities : Marguerite Duras speaks to Jérôme Beaujour	Bray, Barbara	1990	Grove Weidenfeld	New York
47	Depestre, René	The festival of the greasy pole	Coates, Carrol F.	1990	University Press of Virginia	Charlottesville, VA
48	Grainville, Patrick	The cave of heaven	Di Benardi, Dominic	1990	Dalkey Archive Press	Elmwood Park, ILL
49	Chawaf, Chantal	Mother love;;Mother earth	Nagem, Monique Fleury	1992	Garland	New York
50	Queneau, Raymond	The last days	Wright, Barbara	1990	Dalkey Archive Press	Elmwood Park, ILL
51	Sade, Donatien Alphonse François de	Justine, Philosophy in the bedroom, and other writings	Seaver, Richard;;Wainhouse, Austryn	1990	Grove Weidenfeld	New York
52	Desnos, Robert	The selected poems of Robert Desnos	Forché, Carolyn;;Kulik, William T.	1991	Ecco Press	New York
53	Ernaux, Annie	Cleaned out	Sanders, Carol	1990	Dalkey Archive Press	Elmwood Park, ILL
54	Tharlet, Eve	Christmas won't wait	Clements, Andrew	1990	Picture Book Studio	Saxonville, MASS
55	Ionesco, Eugène	Fragments of a journal	Stewart, Jean	1990	Paragon House	New York
56	Sara	Across town : a man in a lonely tunnel is befriended by a cat	NA	1991	Orchard Books	New York
57	Rachilde	The juggler	Hawthorne, Melanie C.	1990	Rutgers University Press	New Brunswick, N.J.
58	Breton, André	Communicating vessels	Caws, Mary Ann;;Harris, Geoffrey T.	1990	University of Nebraska Press	Lincoln, NEBR
59	Aragon, Louis	Treatise on style = Traité du style	Waters, Alyson	1991	University of Nebraska Press	Lincoln, NEBR
60	Robbe-Grillet, Alain	Ghosts in the mirror	Levy, Jo	1991	Grove Weidenfeld	New York
61	Voltaire	Candide	NA	1991	Dover Publications	New York
62	Zumthor, Paul	Toward a medieval poetics	Bennett, Philip	1992	University of Minnesota Press	Minneapolis, MINN
63	Cendrars, Blaise	Sky : memoirs	Rootes, Nina	1990	Paragon House	New York
64	Kristeva, Julia	Strangers to ourselves	Roudiez, Leon S.	1991	Columbia University Press	New York
65	Green, Julien	Paris (photographs by the author)	Underwood, J. A.	1991	M. Boyars	New York
66	Ruwet, Nicolas	Syntax and human experience (edited by the translator)	Goldsmith, John A.	1991	University of Chicago Press	Chicago, ILL
67	Wilsdorf, Anne	Philomene	NA	1992	Greenwillow Books	New York
68	Jardine, Alice;;Menke, Anne M.	Shifting scenes : interviews on women, writing, and politics in post-68 France	NA	1991	Columbia University Press	New York
69	Tristan, Frédérick	The lost ones : a novel	Pollack, Abby	1991	W. Morrow	New York
70	Satprem	By the body of the earth; or, The sannyasi	Venet, Luc	1991	Institute for Evolutionary Research	New York
71	Klossowski, Pierre	Sade my neighbor	Lingis, Alphonso	1991	Northwestern University Press	Evanston, ILL
72	Toussaint, Jean-Philippe	Monsieur : a novel	Lambert, John	1991	Marion Boyars	New York
73	Sara	The rabbit, the fox, and the wolf	NA	1990	Orchard Books	New York
74	Gréban, Arnoul	The Nativity	Sewall, Shelley	1991	Southern Illinois University Press	Carbondale, ILL
75	Chraïbi, Driss	The simple past	Harter, Hugh A.	1990	Three Continents Press	Washington, D.C.
76	Daumal, René	Le contre-ciel	Knight, Kelton W.	1990	Lang	New York
77	Lecaye, Olga	Victor and the witch	NA	1990	Crocodile Books	New York
78	Sand, George;;Jurgrau, Thelma	Story of my life :, the autobiography of George Sand : a group translation (critical introduction by Thelma Jurgrau ; historical introduction by Walter D. Gray)	NA	1991	State University Press of New York	Albany, N.Y.
79	Stendhal	Three Italian chronicles;;The cenci -- The abbess of Castro -- Vanina Vanini	Scott-Moncrieffr, C. K.	1991	New Directions	New York
80	Gomes, Rosalie;;Gruneberg, Anne;;Lacroix, Jean;;Vermes, Vivienne	Fast track to French : a ready-to-use French course	Dubois, Karen;;Thomson, John	1990	Barron's	New York
81	Gomes, Rosalie;;Vermes, Vivienne	Vía rápida al inglés = English for Spanish speakers (con la colaboración de Anne Gruneberg, Jean Lacroix ; crónicas y cuento : Michael Kent ; dibujos : Peters Day)	Ferrero Campos, Francisco;;Holtz, Chantal	1990	Barron's	New York
82	Halter, Marek	The children of Abraham	Bair, Lowell	1990	Arcade	New York
83	Voltaire	Candide; or, Optimism : a fresh translation, backgrounds, criticism	Adams, Robert Martin	1991	Norton	New York
84	Bonnefoy, Yves	In the shadow's light (English translation of : Ce qui fut sans lumière, and French original on facing pages)	Naughton, John T.	1991	University of Chicago Press	Chicago, ILL
85	Le Brun, Annie	Sade, a sudden abyss	Naish, Camille	1990	City Lights Books	San Francisco, CALIF
86	Fardeghini, Marina;;Niggi, Paola	Express track to Italian : a teach-yourself program (illustrations by Giuseppe Quattrocchi, Xavier de Sierra)	Danesi, Marcel	1990	Barron's	New York
87	Chiabrando, Susana;;Ferrero, Francisco;;Valera, Angels	Express track to Spanish : a teach-yourself program (illustrations by Alfonso Ortuño)	Pomerantz, Allen	1990	Barron's	New York
88	Vercors;;Brown, James W.;;Stokes, Lawrence D.	The silence of the sea = le silence de la mer : a novel of French resistance during World War II	NA	1991	Berg	New York
89	Feydeau, Georges	Paradise hotel	Rudall, Nicholas	1990	I.R. Dee	Chicago, ILL
90	Sollers, Philippe	Women	Bray, Barbara	1990	Columbia University Press	New York
100	Simenon, Georges	Maigret and the Saturday caller	White, Tony	1991	Harcourt Brace Jovanovich	San Diego, CALIF
91	Cixous, Hélène	The book of Promethea = Le livre de Promethea	Wing, Betsy	1991	University of Nebraska Press	Lincoln, NEBR
92	Green, Julien	Adrienne Mesurat	NA	1991	Holmes and Meier	New York
93	Quignard, Pascal	The salon in Württemberg	Bray, Barbara	1991	Grove Weidenfeld	New York
94	Gounard, Jean-François	The racial problem in the works of Richard Wright and James Baldwin	Rodgers, Joseph J.	1992	Greenwood Press	Westport, CONN
95	Duras, Marguerite	Green eyes	Barko, Carol	1990	Columbia University Press	New York
96	Sarraute, Nathalie	You don't love yourself : a novel (translated in consultation with the author)	Wright, Barbara	1990	G. Braziller	New York
97	Sempé, Jean-Jacques	Par avion	Graves, Helen	1991	Alfred A. Knopf	New York
98	Vincent-Buffault, Anne	The history of tears : sensibility and sentimentality in France	Bridgeman, Teresa	1991	St. Martin's Press	New York
99	Bernanos, Michel	The other side of the mountain	Halperin, Elaine P.	1990	Cherokee	Atlanta, GA
101	Simenon, Georges	Donadieu's will	Gilbert, Stuart	1991	Harcourt Brace Jovanovich	San Diego, CALIF
102	Larbaud, Valéry	The diary of A. O. Barnabooth : a novel	Cannan, Gilbert	1990	McPherson	Kingston, N.Y.
103	Huriet, Geneviève	Mistletoe and the baobab tree	Knowlton, MaryLee	1991	Gareth Stevens Children's Books	Milwaukee, WIS
104	Huriet, Geneviève	Dandelion's vanishing vegetable garden	Knowlton, MaryLee	1991	Gareth Stevens Children's Books	Milwaukee, WIS
105	Huriet, Geneviève	Poppy's dance	Knowlton, MaryLee	1991	Gareth Stevens Children's Books	Milwaukee, WIS
106	Huriet, Geneviève	Periwinkle at the full moon ball	Knowlton, MaryLee	1991	Gareth Stevens Children's Books	Milwaukee, WIS
107	Bourdieu, Pierre;;Thompson, John B.	Language and symbolic power	Adamson, Matthew;;Raymond, Gino	1991	Harvard University Press	Cambridge, MASS
108	Ben Jelloun, Tahar	Silent day in Tangier	Lodbell, David	1991	Harcourt Brace Jovanovich	San Diego, CALIF
109	Jabès, Edmond	Intimations, the desert	Waldrop, Rosmarie	1991	Wesleyan University Press	Middletown, CT
110	Gilbert-Lecomte, Roger	Black mirror : the selected poems of Roger Gilbert-Lecomte (foreword by Antonin Artaud)	Rattray, David	1991	Station Hill Press	Barrytown N.Y.
111	Cioran, Émile M.	Anathemas and admirations	Howard, Richard	1991	Arcade	New York
112	Rabaté, Jean-Michel	James Joyce, authorized reader	NA	1991	Johns Hopkins University Press	Baltimore, MD
113	Raspail, Jean	Blue Island : a novel	Leggatt, Jeremy	1991	Mercury House	San Francisco, CALIF
114	Trefusis, Violet Keppel	Echo	Miles, Siân	1990	Viking	New York
115	Durand, Loup	Jaguar	NA	1991	Villard Books	New York
116	Simon, Claude	The Acacia : a novel	Howard, Richard	1991	Pantheon Books	New York
117	Beck, Martine	The rescue of Brown Bear and White Bear	Danon, Susan	1991	Little, Brown	Boston, MASS
118	Belloc, Denis	Neons	Rodarmor, William	1991	David R. Godine	Boston, MASS
119	Perec, Georges	Things : a story of the sixties;;A man sleeps	Bellos, David;;Leak, Andrew	1990	D. Godine	Boston, MASS
120	Orsenna, Erik	Love and empire	Leggatt, Jeremy	1991	Cornelia & M. Bessie Books	New York
121	Brunhoff, Laurent de	Babar's picnic	NA	1991	Random House	New York
122	Dumas, Alexandre	Charles VII at the homes of his great vassals	Trench-Bonett, Dorothy	1991	Noble Press	Chicago, ILL
123	Chedid, Andrée	The prose and poetry of Andrée Chedid : selected poems, short stories, and essays	Linkhorn, Renée	1990	Summa Publications	Birmingham, ALA
124	Adūnīs	An introduction to Arab poetics (Consists of four essay delivered as lectures at the Colleège de France in 1984)	Cobham, Catherine	1990	University of Texas Press	Austin, TEX
125	Bemba, Sylvain	Theater & politics : an international anthology;;et al.;;Black wedding candles for blessed antigone : Sylvain Bemba -- A season in the Congo : Aimé Césaire -- Burn river burn : Jean-Pol Fargeau -- Olympe and executioner : Wendy Kesselman -- Mephisto : adapted from Klaus Mann by Ariane Mnouchkine (Four of the five plays translated from French)	NA	1990	Ubu Repertory Theater	New York
126	Joubert, Jean	White owl and blue mouse	Levertov, Denise	1990	Zoland Books	Cambridge, MASS
127	Reverdy, Pierre;;Bent, Timothy	Selected poems	Ashbery, John;;Caws, Mary Ann;;Terry, Patricia	1991	Wake Forest University Press	Winston-Salem, N.C.
128	Derrida, Jacques	Cinders	Lukacher, Ned	1991	University of Nebraska Press	Lincoln, NEBR
129	Beaujour, Michel	Poetics of the literary self-portrait	Milos, Yara	1991	New York University Press	New York
130	Vitoux, Frédéric	Céline : a biography	Browner, Jesse	1992	Paragon House	New York
131	Berman, Antoine	The experience of the foreign : culture and translation in romantic Germany	Heyvaert, S.	1992	State University of New York Press	Albany, N.Y.
132	Merle, Robert	Vittoria	Bray, Barbara	1990	Thorndike Press	Thorndike, ME
133	Tlili, Mustapha	Lion mountain	Coverdale, Linda	1990	Arcade	New York
134	Roy, Claude	The distant friend : a novel	Harter, Hugh A.	1990	Holmes and Meier	New York
135	Moore, Gilbert	Lorraine, as in a Chagall painting (adapted from the French by the author)	NA	1990	Conservatory Press	Baltimore, MD
136	Nerval, Gérard de	Aurélia	Lappin, Kendall E.	1991	Asylum Arts	Santa Maria, CALIF
137	NA	Gallic echoes : a selection of poems	Lappin, Kendall E.	1991	Asylum Arts	Santa Maria, CALIF
138	Labro, Philippe	One summer out West	Byron, William R.	1991	Ballantine Books	New York
139	Baˀo Ðại	Con rò̂ng Việt Nam : hò̂i ký chánh trị 1913-1987	NA	1990	Nguyẽ̂n Phước Tộc	California
140	Rabelais, François	Gargantua and Pantagruel	Motteux, Peter Anthony;;Urquhart, Thomas	1990	Encyclopædia Britannica Inc.	Chicago, ILL
141	Vernant, Jean-Pierre;;Vidal-Naquet, Pierre	Myth and tragedy in ancient Greece	Lloyd, Janet	1990	Zone Books	New York
142	Ernaux, Annie	A woman's story	Leslie, Tanya	1991	Four Walls Eight Windows	New York
143	Beauvoir, Simone de	The mandarins : a novel	NA	1991	W.W. Norton	New York
144	Cocteau, Jean	Diary of an unknown	Browner, Jesse	1991	Paragon House	New York
145	Sade, Donatien Alphonse François de	Filosofija v buduare	Armalinskogo, Mihajla;;Karabutenko, Ivan	1992	M.I.P.	Minneapolis, MINN
146	Genette, Gérard	The architext : an introduction	Lewin, Jane E.	1992	University of California Press	Berkeley, CALIF
147	Esteves, Carmen C.;;Paravisini-Gebert, Lizabeth	Green cane and juicy flotsam : short stories by Caribbean women	NA	1991	Rutgers University Press	New Brunswick, N.J.
148	Schwob, Marcel	Imaginary lives	Hives, Harry	1991	Longwood Academic	Wakefield N.H.
149	Vandeloise, Claude	Spatial prepositions : a case study from French	Bosch, Anna R. K.	1991	University of Chicago Press	Chicago, ILL
150	Roubaud, Jacques	The great fire of London : a story with interpolations and bifurcations	Di Bernardi, Dominic	1991	Dalkey Archive Press	Elmwood Park, ILL
151	Simenon, Georges	Maigret at the Gai-Moulin	Sainsbury, Geoffrey	1991	Harcourt Brace Jovanovich	San Diego, CALIF
152	Simon, Claude	The invitation	Cross, Jim	1991	Dalkey Archive Press	Elmwood Park, ILL
153	Adrienne	Adrienne's dictionary : English-French	NA	1991	W.W. Norton	New York
154	Guibert, Hervé	To the friend who did not save my life	Coverdale, Linda	1991	Atheneum;;Maxwell Macmillan International	New York;;New York
155	Senghor, Léopold Sédar	The collected poetry	Dixon, Melvin	1991	University Press of Virginia	Charlottesville, VA
156	Borer, Alain	Rimbaud in Abyssinia	Waldrop, Rosmarie	1991	W. Morrow	New York
157	Leiris, Michel	Scratches	NA	1991	Paragon House	New York
158	Leiris, Michel	Rules of the game (1:) Scratches	Davis, Lydi	1991	Paragon House	New York
159	Jabès, Edmond	The book of questions	Waldrop, Rosmarie	1991	University Press of New England	Hanover, N.H.
160	Fóti, Véronique Marion	Heidegger and the poets : poiēsis/sophia/technē	NA	1992	Humanities Press International	s. l.
161	Daumal, René	The powers of the word : selected essays and notes, 1927-1943;;(Selections from L'évidence absurde and Les pouvoirs de la parole, which were published under the collective title : Essais et notes)	Polizzotti, Mark	1991	City Lights Books	San Francisco, CALIF
162	Yourcenar, Marguerite	Dear departed	Ascher, Maria Louise	1991	Farrar Straus Giroux	New York
163	Rosenstiehl, Agnès	Mimi takes charge (from the Mimi Cracra books)	NA	1991	Advocacy Press	Santa Barbara, CALIF
164	Rosenstiehl, Agnès	Mimi makes a splash	NA	1991	Advocacy Press	Santa Barbara, CALIF
165	Flaubert, Gustave	Early writings (selections... translated from "Oeuvres complètes de Gustave Flaubert, tomes 11 et 12, Paris 1973-74);;A trip to Hell -- Portrait of Lord Byron -- A fragrance to smell, or, The clowns -- Rage and impotence -- A lecture on natural history--genus: Clerk -- Dream of Hell -- Whatever you want -- Passion and virtue -- Dance of the dead -- Diary of a madman -- Smarh	Griffin, Robert	1991	University of Nebraska Press	Lincoln, NEBR
166	Perrault, Charles	El gato con botas	Marcuse, Aída	1991	Mirasol;;Farrar Straus Giroux	New York;;New York
167	Maupassant, Guy de	In the woods and other love stories	Scott, Mark	1991	Longwood Academic	Wakefield NH
168	Prévert, Jacques	Blood and feathers : selected poems of Jacques Prévert	NA	1993	Moyer Bell	Mount Kisco, N.Y.
169	Blanchot, Maurice	The step not beyond	Nelson, Lycette	1992	State University of New York Press	Albany, N.Y.
170	Lager, Claude	A tale of two rats (illustrations by Nicole Rutten)	NA	1991	Stewart Tabori and Chang	New York
171	Tannery, Claude	Malraux, the absolute agnostic; or, Metamorphosis as universal law	Fagan, Teresa Lavender	1991	University of Chicago Press	Chicago, ILL
172	Tharlet, Eve	Simon and the holy night	Clements, Andrew	1991	Picture Book Studio	Saxonville, MASS
173	Robin, Régine	Socialist realism : an impossible aesthetic	Porter, Catherine	1992	Stanford University Press	Stanford, CALIF
174	Jacob, Max	Hesitant fire : selected prose of Max Jacob (edited by the translators)	Black, Moishe;;Green, Maria	1991	University of Nebraska Press	Lincoln, NEBR
175	Nadja	Little Nina and Baby Bear (illustrated by the author)	NA	1992	Alfred A. Knopf	New York
176	Nadja	Little Nina and the radio (illustrated by the author)	NA	1992	Alfred A. Knopf	New York
177	Nadja	Little Nina plays ball (illustrated by the author)	NA	1992	Alfred A. Knopf	New York
178	Green, Julien	South : a play	NA	1991	M. Boyars	New York
179	Kristof, Agota	The proof	Watson, David	1991	G. Weidenfeld	New York
180	Zola, Émile	The ladies' paradise	NA	1992	University of California Press	Berkeley, CALIF
181	Mudimbe, Valentin Y.	Between tides = Entre les eaux	Becker, Stephen	1991	Simon and Schuster	New York
182	Olender, Maurice	The languages of Paradise : race, religion, and philology in the nineteenth century	Goldhammer, Arthur	1992	Harvard University Press	Cambridge, MASS
183	Bataille, Georges	The impossible;;A story of rats -- Dianus -- The oresteia	Hurley, Robert	1991	City Lights Books	San Francisco, CALIF
184	Malraux, André	The conquerors	Becker, Stephen	1992	University of Chicago Press	Chicago, ILL
185	Goffin, Josse	Who is the boss?	NA	1992	Clarion Books	New York
186	Krings, Antoon	Oliver's pool (ages 2-5)	NA	1992	Hyperion Books for Children	New York
187	Marshall, Bill	Victor Serge : the uses of dissent	NA	1992	Berg	New York
188	Léonard, Alain	Barnaby and the big gorilla	NA	1992	Tambourine Books	New York
189	Bugul, Ken	The abandoned baobab : the autobiography of a Senegalese woman	Jager, Marjolijn de	1991	Lawrence Hill Books	Chicago, ILL
190	Cendrars, Blaise	Complete poems	Padgett, Ron	1992	University of California Press	Berkeley, CALIF
191	Gervais, Bernadette;;Pittau, Francesco	Voyage under the stars	NA	1992	Lothrop Lee and Shepard Books	New York
192	Rabelais, François	The complete works of François Rabelais	Frame, Donald Murdoch	1991	University of California Press	Berkeley, CALIF
193	Simenon, Georges	Maigret goes to school	Woodward, Daphne	1992	Harcourt Brace Jovanovich	New York
194	Leclerc, Eloi;;Johnson, Marie-Louise	The wisdom of the poor one of Assisi (adapted from a translation)	NA	1992	Hope Publishing House	Pasadena, CALIF
195	Yourcenar, Marguerite	That mighty sculptor, time (translated in collaboration  with the author)	Kaiser, Walter	1992	Farrar Straus Giroux	New York
196	Bertrand, Cécile	Mr. and Mrs. Smith have only one child, but what a child!	NA	1992	Lothrop Lee and Shepard Books	New York
197	Diderot, Denis	This is not a story and other stories	Furbank, Philip Nicholas	1991	University of Missouri Press	Columbia, MO
198	Verne, Jules	The complete twenty thousand leagues under the sea : a new translation of Jules Verne's science fiction classic	Mickel, Emanuel J.	1991	Indiana University Press	Bloomington, IND
199	Simenon, Georges	The truth about Bébé Donge	Varèse, Louise	1992	Harcourt Brace Jovanovich	New York
200	Maupassant, Guy de	The necklace and other short stories	NA	1992	Dover Publications	New York
201	Rouaud, Jean	Fields of glory : a novel	Manheim, Ralph	1992	Arcade	New York
202	Roubaud, Jacques	Hortense in exile	Bernardi, Dominic di	1992	Dalkey Archive Press	Normal, ILL
203	Arnaud, Claude	Chamfort, a biography	Dusinberre, Deke	1992	University of Chicago Press	Chicago, ILL
204	Mauriac, François	Nouveaux mémoires intérieurs = More reflections from the soul	Kimbrough, Mary	1991	Edwin Mellen Press	Lewiston, N.Y.
205	Jabès, Edmond	The ineffaceable, the unperceived	Waldrop, Rosmarie	1992	Wesleyan University Press	Middletown, CT
206	Brouillard, Anne	Three cats	NA	1992	Thomasson-Grant	Charlottesville, VA
207	Vian, Boris	Blues for a black cat & other stories (with a foreword by Louis Malle)	Older, Julia	1992	University of Nebraska Press	Lincoln, NEBR
208	Hamon, Philippe	Expositions : literature and architecture in nineteenth-century France	Maguire, Lisa;;Sainson-Frank, Katia	1992	University of California Press	Berkeley, CALIF
209	Molière	The school for wives;;The learned ladies	Wilbur, Richard	1991	Harcourt Brace Jovanovich	San Diego, CALIF
210	Duras, Marguerite	Summer rain	Bray, Barbara	1992	Scribner	New York
211	Beckett, Samuel;;Krance, Charles	Samuel Beckett's Company/Compagnie;;A piece of monologue	NA	1993	Garland	New York
212	Cox, Paul	The riddle of the floating island	NA	1992	Green Tiger Press	New York
213	Cox, Paul	The case of the botched book (The adventures of Archibald the Koala on Rastepape Island)	NA	1992	Green Tiger Press	New York
214	Cox, Paul	The great eucalyptus mystery (The Adventures of Archibald the Koala on Rastepape Island)	NA	1992	Green Tiger Press	New York
215	Molière	The school for husbands : comedy in three acts, 1661	Wilbur, Richard	1992	Harcourt Brace Jovanovich	New York
216	Chiabrando, Susana;;Mothe, Jean-Claude;;Valera, Angels	Spanish on location	Kendris, Christopher	1992	Barron's	Hauppauge, N.Y.
217	Lorme, Anna	A traitor's daughter : a novel	Bononno, Robert	1992	Holmes and Meier	New York
218	Lévi, Jean	The dream of Confucius	Bray, Barbara	1992	Harcourt Brace Jovanovich	New York
219	Tharlet, Eve	Little pig, bigger trouble	Clements, Andrew	1992	Picture Book Studio	Saxonville, MASS
220	Clément, Claude	The hungry duckling	NA	1992	Reader's Digest	Pleasantville, N.Y.
221	Chottin, Ariane;;Kovacs, Deborah	A home for Little Turtle	NA	1992	Reader's Digest	Pleasantville, N.Y.
222	Chottin, Ariane	Beaver gets lost	NA	1992	Reader's Digest	Pleasantville, N.Y.
223	Kovacs, Deborah;;Pépin, Muriel	Little Bear's new friend	NA	1992	Reader's Digest	Pleasantville, N.Y.
224	Simenon, Georges	Maigret and the Nahour case	Hamilton, Alastair	1992	G. K. Hall	Boston, MASS
225	Gombert, Jean Emile	Metalinguistic development	NA	1992	University of Chicago Press	Chicago, ILL
226	Zola, Émile	My hatreds	Paves-Yashinsky, Palomba;;Yashinsky, Jack	1991	Edwin Mellen Press	Lewiston, N.Y.
227	Janton, Pierre;;Tonkin, Humphrey	Esperanto : language, literature, and community	Edwards, Jane;;et al.	1993	State University of New York Press	Albany, N.Y.
228	Ernaux, Annie	A man's place	Leslie, Tanya	1992	Four Walls Eight Windows	New York
229	Cendrars, Blaise;;Chefdor, Monique	Modernities and other writings	Allen, Esther;;et al.	1992	University of Nebraska Press	Lincoln, NEBR
230	Izaki, Yasuko;;Julien, Patrice;;Tanaka Bardin, Sachiko	Japanese on location	Shapiro, Jean-Jacques	1992	Barron's	Hauppauge, N.Y.
231	Kugel, Veronika	German on location	Graves, Paul G.	1992	Barron's	Hauppauge, N.Y.
